time,distance
17140,5.00000
17190,5.00000
17282,5.00000
17295,5.00000
17340,5.00000
17390,5.00000
17440,5.00000
17490,5.00000
17540,5.00000
17590,5.00000
17640,5.00000
17690,5.00000
17740,5.00000
17790,5.00000
17840,5.00000
17890,5.00000
17940,5.00000
17990,5.00000
18041,5.00000
18090,5.00000
18140,5.00000
18190,5.00000
18240,5.00000
18301,5.00000
18340,5.00000
18390,5.00000
18440,5.00000
18490,5.00000
18540,5.00000
18590,5.00000
18639,5.00000
18689,5.00000
18748,5.00000
18790,5.00000
18840,5.00000
18890,5.00000
18940,5.00000
18990,5.00000
19040,5.00000
19090,5.00000
19140,5.00000
19190,5.00000
19240,5.00000
19301,5.00000
19340,5.00000
19390,5.00000
19440,5.00000
19490,5.00000
19540,5.00000
19590,5.00000
19640,5.00000
19690,5.00000
19740,5.00000
19791,5.00000
19840,5.00000
19891,5.00000
19940,5.00000
19990,5.00000
20040,5.00000
20090,5.00000
20140,5.00000
20191,5.00000
20240,0.00000
20300,0.00000
20340,0.00000
20390,0.00000
20440,0.00000
20490,0.00000
20540,0.00000
20590,0.00000
20640,0.00000
20690,0.00000
20739,0.00000
20790,0.00000
20840,0.00000
20891,0.00000
20940,0.00000
20990,0.00000
21040,0.00000
21090,0.00000
21140,0.00000
21190,0.00000
21240,0.00000
21318,0.00000
21341,0.00000
21393,0.00000
21440,0.00000
21490,0.00000
21540,0.00000
21590,0.00000
21640,0.00000
21690,0.00000
21740,0.00000
21790,0.00000
21840,0.00000
21890,0.00000
21939,0.00000
21990,0.00000
22040,0.00000
22090,0.00000
22140,0.00000
22190,0.00000
22240,0.00000
22301,0.00000
22340,0.00000
22390,0.00000
22440,0.00000
22490,0.00000
22540,0.00000
22590,0.00000
22640,0.00000
22689,0.00000
22739,0.00000
22790,0.00000
22840,0.00000
22890,0.00000
22940,0.00000
22990,0.00000
23040,0.00000
23090,0.00000
23140,0.00000
23190,0.00000
23240,0.00000
23303,0.00000
23340,0.00000
23390,0.00000
23440,5.00000
23490,5.00000
23540,5.00000
23590,5.00000
23640,5.00000
23691,5.00000
23741,5.00000
23790,5.00000
23840,5.00000
23890,5.00000
23940,5.00000
23990,5.00000
24040,5.00000
24090,5.00000
24140,5.00000
24190,5.00000
24240,5.00000
24300,5.00000
24340,5.00000
24390,5.00000
24440,5.00000
24490,5.00000
24540,5.00000
24590,5.00000
24640,5.00000
24690,5.00000
24740,5.00000
24790,5.00000
24840,5.00000
24890,5.00000
24940,5.00000
24990,5.00000
25040,5.00000
25090,5.00000
25140,5.00000
25190,5.00000
25240,5.00000
25329,5.00000
25340,5.00000
25390,5.00000
25440,5.00000
25490,5.00000
25540,5.00000
25590,5.00000
25640,5.00000
25690,5.00000
25740,5.00000
25790,5.00000
25841,5.00000
25890,5.00000
25941,5.00000
25990,5.00000
26040,5.00000
26089,5.00000
26139,5.00000
26190,5.00000
26241,5.00000
26303,5.00000
26341,5.00000
26392,5.00000
26440,5.00000
26490,5.00000
26540,5.00000
26591,5.00000
26640,5.00000
26690,5.00000
26740,5.00000
26790,5.00000
26840,5.00000
26890,5.00000
26940,5.00000
26990,5.00000
27040,5.00000
27090,5.00000
27141,5.00000
27190,5.00000
27244,5.00000
27304,5.00000
27341,5.00000
27390,5.00000
27440,5.00000
27491,5.00000
27540,5.00000
27590,5.00000
27642,5.00000
27690,5.00000
27740,5.00000
27818,5.00000
27890,5.00000
27940,5.00000
27990,5.00000
28040,5.00000
28090,5.00000
28142,5.00000
28191,5.00000
28241,5.00000
28307,5.00000
28342,5.00000
28393,5.00000
28440,5.00000
28491,5.00000
28540,5.00000
28591,5.00000
28640,5.00000
28691,5.00000
28740,5.00000
28790,5.00000
28841,5.00000
28891,5.00000
28940,5.00000
28991,5.00000
29040,5.00000
29090,5.00000
29141,5.00000
29191,5.00000
29241,5.00000
29334,5.00000
29342,5.00000
29390,5.00000
29441,5.00000
29490,5.00000
29540,5.00000
29591,5.00000
29640,5.00000
29691,5.00000
29740,5.00000
29791,5.00000
29841,5.00000
29890,5.00000
29941,5.00000
29991,5.00000
30040,5.00000
30090,5.00000
30141,5.00000
30190,5.00000
30240,5.00000
