time,dB(SPL)
28866,63.95663
28916,62.28555
29003,61.30412
29017,62.90393
29066,62.10339
29116,63.85135
29165,64.62429
29216,62.91014
29266,61.44500
29315,59.79789
29366,60.96106
29415,61.01533
29465,70.84655
29515,72.23234
29565,69.28084
29616,69.84403
29666,69.07859
29716,69.39350
29766,67.53519
29816,66.11562
29865,70.09485
29915,74.52802
29978,75.81555
30016,74.18879
30066,75.38016
30116,73.65012
30165,72.88877
30216,75.24607
30266,72.39855
30316,71.87901
30368,70.55002
30416,72.38604
30465,69.17880
30516,68.52697
30565,66.93097
30616,67.25719
30666,69.87752
30716,71.56361
30766,69.41996
30815,71.08494
30867,69.83004
30916,69.40233
30982,67.54977
31016,67.54977
31066,62.59380
31116,59.33222
31166,60.99986
31216,59.02675
31266,55.53402
31316,62.29222
31366,63.48701
31416,64.34968
31468,60.39893
31516,65.31993
31566,65.15837
31616,56.27162
31666,61.95902
31715,61.83334
31766,65.01328
31816,65.04249
31866,61.79104
31916,60.70059
31976,55.59193
32016,62.60668
32066,64.17957
32116,65.11510
32166,62.99669
32216,63.15518
32266,60.29881
32315,60.89080
32365,60.96106
32416,60.76445
32465,64.24375
32515,66.68505
32566,71.92974
32615,72.60042
32666,71.58424
32716,74.56870
32766,73.07775
32816,70.62447
32866,71.03632
32916,73.59219
32997,75.70090
33016,73.76306
33066,67.14726
33116,68.22566
33166,71.72049
33216,72.01728
33266,73.16977
33316,75.82258
33366,73.89210
33416,73.93237
33466,72.28740
33516,71.41553
33566,75.91065
33615,77.96023
33666,77.82963
33716,78.52479
33765,77.47106
33816,80.52085
33865,82.01843
33915,84.40687
33983,81.31159
34015,80.70940
34065,77.45710
34116,76.96255
34166,75.06706
34216,70.39394
34267,67.22322
34316,65.21573
34366,70.16790
34416,72.12763
34465,71.29095
34516,75.60058
34567,78.13532
34615,78.35221
34666,78.91528
34716,80.74614
34766,78.10620
34816,77.15268
34866,76.30890
34916,79.16076
34965,76.85218
35030,74.42467
35065,74.33008
35116,76.25025
35166,77.90956
35216,75.47427
35266,75.90230
35316,74.17352
35366,70.70588
35416,73.16023
35466,70.90614
35516,66.74919
35565,63.94009
35616,66.45265
35665,66.71317
35716,68.52372
35765,66.54718
35815,63.38761
35865,65.99015
35916,63.17931
35966,65.90694
36031,64.82096
36066,63.55650
36120,58.12670
36166,64.25440
36215,65.46929
36265,62.92876
36315,62.09657
36366,61.88243
36416,63.25726
36465,62.14420
36515,65.56592
36565,62.87902
36616,65.86725
36666,67.65475
36716,67.29477
36766,68.61762
36816,66.08119
36866,65.34343
36916,65.74708
36966,63.97864
37034,66.86423
37069,64.00606
37116,62.33879
37166,62.81016
37215,65.01815
37265,62.20506
37315,64.24375
37366,60.87510
37416,64.70552
