608144,2144,-1388,16904,-345,288,89
617764,2124,-1444,16912,-389,377,32
627384,2112,-1424,16996,-449,478,-83
637264,2024,-1432,16844,-484,532,-226
647404,2056,-1556,16800,-471,553,-327
657548,2060,-1556,16940,-431,557,-370
667688,2080,-1472,16808,-342,492,-371
677824,2084,-1420,16880,-290,468,-300
687964,2016,-1552,16812,-302,424,-155
698136,2008,-1536,16640,-349,267,-79
707984,1876,-1536,16616,-428,112,11
717596,1824,-1580,16560,-552,31,26
726964,2060,-1824,16656,-648,111,11
736588,1968,-1748,16468,-584,192,-70
746464,1840,-1772,16412,-466,329,-156
756604,1812,-1740,16648,-291,388,-201
766744,1768,-1596,16584,-65,285,-198
776624,1916,-1564,16572,79,142,-215
786244,1960,-1376,16744,161,158,-199
796124,2084,-1436,16836,234,277,-264
806004,2008,-1384,17156,201,368,-288
815908,2036,-1240,17072,88,413,-279
825504,1944,-1232,16912,-123,469,-249
835648,1952,-1264,16884,-289,463,-271
845784,1856,-1408,16900,-381,359,-294
855924,1880,-1452,16892,-396,271,-304
866088,2004,-1472,16948,-222,204,-301
876208,2088,-1416,16964,-137,259,-334
886344,2072,-1360,16940,-94,433,-344
896224,2080,-1316,17004,-74,519,-327
906104,1924,-1344,17104,-32,563,-325
916008,2012,-1392,17164,-138,409,-278
926124,2032,-1284,17112,-367,341,-228
936268,1992,-1244,16992,-556,323,-231
946404,2036,-1400,17008,-784,246,-243
956544,2080,-1364,16740,-872,341,-286
966688,2056,-1432,16928,-890,416,-327
976824,2104,-1476,16772,-723,403,-408
986964,2008,-1464,16780,-555,418,-485
997128,2160,-1460,16816,-340,446,-506
1007244,2124,-1364,16768,-151,577,-502
1017644,2124,-1404,17104,-55,689,-496
1027784,2124,-1340,16804,-182,712,-370
1038188,2132,-1312,16864,-321,688,-288
1048588,2040,-1412,16932,-468,600,-221
1058984,2032,-1396,17152,-545,411,-228
1069388,2028,-1396,17056,-581,257,-291
1079784,2056,-1400,16880,-552,171,-338
1090184,2056,-1372,16864,-495,180,-354
1100584,2152,-1352,16860,-448,129,-333
