1412584,-3812,92,16336,-1552,6552,776
1422724,-4008,-36,16596,-1238,6430,679
1433148,-4148,160,16184,-898,6628,544
1443264,-3804,4,15572,-794,8074,469
1452884,-4360,-100,16136,-952,8999,506
1463284,-4828,104,16352,-1135,8473,430
1473684,-5088,580,15716,-1100,8285,475
1484084,-5080,400,15860,-1094,8212,538
1494484,-5000,156,15756,-1214,7976,545
1504884,-5108,388,15628,-1254,8294,571
1515284,-5116,208,15804,-1447,8469,444
1525684,-5332,220,15592,-1623,8658,326
1536088,-5368,220,15136,-1661,9935,356
1546484,-5804,164,15548,-1806,10945,430
1557144,-6272,72,15844,-1831,10882,482
1567544,-6440,-68,16072,-1674,10370,520
1578204,-6444,-416,16080,-1509,9903,433
1588864,-6508,-180,15616,-1165,9563,176
1599528,-6520,-240,15252,-866,9960,-110
1610184,-6936,-328,15176,-748,10038,-371
1621104,-7140,32,14932,-672,9825,-610
1631248,-7500,-160,14812,-724,10080,-834
1642164,-7828,16,14416,-638,11065,-829
1652564,-7928,56,14340,-666,12894,-547
1662964,-8104,-300,14780,-967,14096,-491
1673884,-8620,-452,14784,-1086,13884,-702
1685064,-8976,-580,14604,-957,12931,-1006
1696244,-9088,-616,14012,-663,12607,-1293
1707424,-9264,-812,14180,-204,12220,-1711
1718604,-9584,-704,13900,225,11573,-2268
1729524,-9560,-876,13448,649,11176,-2766
1740444,-10220,-824,13260,1201,10608,-2945
1751884,-10648,-480,12288,1592,11137,-2951
1763324,-11016,-500,12876,1446,11569,-2704
1774764,-10848,-168,12252,858,12047,-2223
1785948,-10260,-396,12048,58,13071,-1685
1796892,-10064,-184,12188,-578,13675,-1590
1808304,-10020,-120,12020,-1023,13941,-2088
1820004,-10216,-628,11848,-918,14103,-2870
1831468,-10540,-584,11432,-231,14319,-3715
1842884,-11180,-908,11396,459,14960,-4418
1854064,-12208,-1412,11700,1177,14703,-4982
1865768,-13004,-1072,10928,2011,14275,-4826
1877464,-12896,-1244,10220,2418,13719,-4647
1889164,-13028,-932,9428,2497,13182,-4459
1900344,-12964,-1012,8476,2133,14060,-4225
1911784,-12816,-1072,8304,1410,15632,-3916
1923224,-13468,-1360,8724,761,15152,-3685
1934408,-13892,-1224,8912,361,12953,-3891
1945584,-13988,-776,8076,297,11945,-3960
1956504,-13884,-1392,8108,234,11614,-3777
1967684,-13816,-1540,8064,315,10664,-3796
1978864,-13540,-1440,7372,609,10097,-4045
1990044,-13324,-1544,6960,826,9877,-4299
2000968,-14288,-1376,6428,568,8954,-4834
2011908,-14916,-1372,5460,82,10106,-4998
2022804,-15484,-1696,5772,-436,9584,-4466
2033984,-15476,-1672,5548,-998,9170,-4146
2045164,-15380,-1964,5488,-1468,9496,-3494
2056604,-15484,-2384,5152,-2012,10109,-2733
2068304,-16020,-2188,5404,-2425,9486,-2050
2079748,-15148,-2268,5612,-2481,7557,-1780
2091184,-14588,-2240,5280,-2382,6223,-1990
2102624,-14408,-2296,4708,-2535,6777,-2263
2114088,-14368,-2600,4184,-2824,8243,-2394
2125504,-15056,-2816,4604,-2692,9337,-2113
2136944,-15512,-3080,4812,-2504,8619,-2173
2148388,-15436,-2944,4052,-2453,9234,-1953
2159824,-16076,-3052,4384,-2427,9749,-1363
