time,dB(SPL)
30346,74.78195
30396,71.00701
30446,70.54486
30516,69.26591
30545,64.82096
30595,72.41729
30646,65.72014
30696,66.12850
30745,62.52912
30796,63.32268
30846,78.42957
30896,63.01513
30948,68.35275
30996,62.61311
31046,65.41823
31098,69.17880
31146,65.58421
31200,64.60898
31246,63.05799
31296,64.34441
31346,71.99548
31396,64.20102
31445,73.22679
31506,66.45265
31546,69.80760
31597,66.12850
31646,62.77868
31696,74.69440
31746,73.29284
31796,62.58735
31846,64.55773
31896,60.37401
31946,64.41784
31996,61.35629
32046,59.92147
32096,61.20640
32146,53.29284
32197,57.96353
32245,58.41290
32298,60.29881
32346,58.21249
32396,54.59949
32445,57.66187
32543,54.66395
32549,62.01430
32596,63.80103
32646,65.52464
32696,68.15801
32746,68.58535
32797,66.99720
32846,69.82163
32895,69.08470
32946,66.99720
32997,62.67716
33046,63.96214
33096,73.18311
33145,72.85127
33197,69.75408
33245,72.84137
33295,70.89128
33346,71.82575
33396,70.46712
33446,68.13080
33515,69.28681
33546,70.87640
33598,69.30468
33645,72.67341
33696,75.59770
33746,74.47568
33796,67.12052
33847,66.72919
33897,72.37560
33945,70.48013
33996,74.91086
34046,75.84503
34097,72.60652
34146,71.57278
34195,71.08009
34246,72.48564
34296,68.82762
34345,72.73978
34396,76.66294
34446,76.25693
34507,73.83577
34546,76.27429
34598,76.66677
34645,79.21417
34696,82.17130
34746,78.52788
34796,74.05722
34846,74.24289
34896,71.54294
34946,70.39918
34995,68.16480
35046,71.05093
35096,69.84962
35146,82.54858
35196,82.33415
35245,77.50238
35296,71.25299
35346,69.79355
35396,69.04186
35446,72.04337
35511,71.35229
35546,72.25991
35596,72.20894
35646,70.90367
35695,71.75197
35745,71.81906
35795,70.65509
35846,69.93583
35895,70.78654
35946,71.82575
35996,72.63902
36045,73.17358
36095,70.66527
36146,70.89376
36196,71.73625
36246,68.69138
36298,69.05412
36346,67.82929
36398,68.84960
36446,64.97907
36539,67.20050
36546,69.88588
36596,67.21187
36645,66.14992
36696,69.77101
36746,70.16251
36795,70.88384
36846,69.06025
36896,70.58604
36946,66.36127
36995,66.57982
37046,66.33199
37098,64.74585
37146,64.49066
37196,66.74519
37246,67.54977
37297,64.03340
37346,64.85083
37397,68.77085
37446,63.73913
37510,67.92399
37547,66.81285
37596,68.52697
37645,74.10187
37695,72.60856
37746,68.58859
37796,68.73915
37846,66.80492
37895,64.98397
37945,64.88059
37995,63.38761
38045,67.43244
38096,65.85841
38146,67.71213
38196,68.22229
38246,73.83047
38297,67.67272
38347,69.23897
38396,79.77385
38446,80.56736
38496,69.50180
38559,67.22700
38598,71.41319
38648,70.38606
38696,70.26169
38746,73.59401
38796,73.01392
38846,70.90119
38896,70.30953
38945,68.19528
38996,62.99054
39047,62.07607
39097,64.16883
39146,64.36546
39198,62.92256
39246,63.62544
39296,64.54230
39345,66.25201
39397,71.20531
39446,72.20681
39496,70.43844
39558,69.88588
39596,74.23614
39646,65.28218
39696,72.12548
39746,72.92415
39796,72.61872
39845,69.28979
39896,69.31063
39945,63.69383
39996,63.43453
40046,65.21573
40097,65.92013
40146,70.78905
40198,71.48989
40245,69.97723
40297,75.31039
40347,73.92888
40396,73.63025
40446,74.88899
40495,74.31004
40557,72.81559
40601,73.29660
40646,70.58347
40697,71.30987
40746,73.72736
40796,73.24382
40846,71.46208
40896,67.86448
40946,70.79657
40996,75.61642
41045,73.18501
